航班号/起始站/终点站/出发时间/到站时间/乘员定额/总票数/剩余票数
HB00001/唐山/长沙/2022-05-03 18:35/2022-05-04 02:15/108/100/99
HB00002/北京/上海/2022-05-04 13:35/2022-05-04 18:45/88/80/80
HB00003/长沙/北京/2022-05-05 09:30/2022-05-05 14:15/112/102/102
HB00004/成都/合肥/2022-05-05 10:25/2022-05-05 14:15/135/125/125
HB00005/成都/唐山/2022-05-06 13:25/2022-05-06 16:15/168/156/156
HB00006/西安/重庆/2022-05-06 13:35/2022-05-06 16:35/98/88/88
HB00007/保定/长沙/2022-05-08 09:35/2022-05-08 12:15/106/98/98
HB00008/沈阳/腾冲/2022-05-08 11:35/2022-05-08 17:15/136/124/120
HB00009/长沙/阜新/2022-05-09 08:25/2022-05-09 14:35/156/142/142
HB00010/石家庄/成都/2022-05-10 12:25/2022-05-10 16:15/168/152/152
HB00011/重庆/石家庄/2022-05-10 13:45/2022-05-10 16:35/168/154/154
HB00012/长沙/沈阳/2022-05-11 08:15/2022-05-11 14:35/128/116/116
HB00013/沈阳/齐齐哈尔/2022-05-11 09:25/2022-05-11 13:15/128/118/118
HB00014/石家庄/青岛/2022-05-12 09:15/2022-05-12 11:30/136/128/128
HB00015/青岛/南京/2022-05-12 11:25/2022-05-12 14:25/128/116/116
HB00016/南京/福州/2022-05-13 10:25/2022-05-15 15:30/138/128/128
HB00017/海口/唐山/2022-05-13 11:35/2022-05-13 17:15/158/142/142
HB00018/南宁/长沙/2022-05-14 13:25/2022-05-14 15:35/148/136/136
HB00019/重庆/海口/2022-05-15 14:35/2022-05-15 16:45/136/128/128
HB00020/兰州/沈阳/2022-05-16 09:25/2022-05-16 11:35/126/128/128
HB00021/西宁/沈阳/2022-05-16 14:35/2022-05-16 16:15/128/116/116
HB00022/葫芦岛/成都/2022-05-17 09:35/2022-05-17 14:25/168/156/156
HB00023/济南/成都/2022-05-18 11:45/2022-05-18 14:25/158/146/146
HB00024/武汉/沈阳/2022-05-19 11:15/2022-05-19 15:45/128/118/118
HB00025/安庆/沈阳/2022-05-19 13:15/2022-05-19 15:45/12/8/8
HB00026/唐山/通辽/2022-05-06 16:05/2022-05-07 16:05/12/8/8
HB00027/株洲/重庆/2022-05-20 7：00/2022-05-20 12:00/127/150/148
HB00028/株洲/邵阳/2022-06-03 8:00/2022-06-03 9:00/200/225/225
